schemaVersion,recordType,source_name,source_url,collectedAt,title,authors,paper_url,github_url,github_stars,published_date
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05081v1,2026-09-10T06:51:28.351627+00:00,Deep Microcompression: Structured Pruning and Bit-packed Quantization for Microcontrollers,Opegbemi Matthias Busoye; Tolulope Matthew Busoye; Eghonghon-aye Eigbe,https://arxiv.org/abs/2609.05081v1,,0,2026-09-04T12:38:07Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05416v2,2026-09-10T06:51:29.334334+00:00,WorldSculpt: Generating Compositional Worlds from Grounded Videos,Muyao Niu; Jixuan He; Ruihan Yu; Lian Fu; Yonghao Yu; Zheng-Hui Huang; Yifan Zhan; Fengbo Lan; Yongtao Ge; Yinqiang Zheng; Kaipeng Zhang; Zhixiang Wang,https://arxiv.org/abs/2609.05416v2,https://github.com/AlayaLab/WorldSculpt,139,2026-09-04T17:59:35Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05415v1,2026-09-10T06:51:29.337731+00:00,UniMate: One Unified Model to Animate Diverse Skeletons,Linzhan Mou; Jiahui Lei; Zhiyang Dou; Chenyue Cai; Chaoyue Song; Adam Finkelstein; Szymon Rusinkiewicz,https://arxiv.org/abs/2609.05415v1,,0,2026-09-04T17:59:00Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05405v1,2026-09-10T06:51:29.341101+00:00,WearableQA: A Benchmark for Health Reasoning over Real-World Wearable Data,Ji Soo Lee; Xilun Chen; Pierce Chuang; Ashish Shenoy; Jason Wei; Dohwan Ko; Hyunwoo J. Kim; Benoit Corda,https://arxiv.org/abs/2609.05405v1,,0,2026-09-04T17:52:37Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05404v1,2026-09-10T06:51:29.343552+00:00,"Diffusion TV: Experiencing Diffusion Models through Tangible, Embodied Interaction",Sihwa Park,https://arxiv.org/abs/2609.05404v1,,0,2026-09-04T17:51:48Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05403v1,2026-09-10T06:51:29.345967+00:00,RegionFed: Federated Learning for Personalized Query Understanding in Heterogeneous Retail Environments,Quoc H. Nguyen; Ali Lafzi; Abhijeet Phatak; Siddharth Pratap Singh; Rohit Upadhyay; Yogananda Domlur Seetharama; Chittaranjan Tripathy,https://arxiv.org/abs/2609.05403v1,,0,2026-09-04T17:50:10Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05401v1,2026-09-10T06:51:29.353097+00:00,"Same Trajectory, Contradictory Rewards (ROBORMBENCH): Paraphrase Fragility in Vision Language Reward Models",Wonje Jeung; Sangyeon Yoon; Hyesoo Hong; Yoonjun Cho; Dongjae Jeon; Bumjun Kim; Jean Oh; Youngjae Yu; Albert No,https://arxiv.org/abs/2609.05401v1,,0,2026-09-04T17:47:58Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05400v1,2026-09-10T06:51:29.356274+00:00,A Generalizable Feature Extractor for Alzheimer's-Related Brain MRI Tasks,Reza Rajabli; D. Louis Collins,https://arxiv.org/abs/2609.05400v1,,0,2026-09-04T17:47:28Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05399v1,2026-09-10T06:51:29.358730+00:00,From Interpretability Methods to Interpretable Models,Julien Colin; Nuria Oliver; Thomas Serre,https://arxiv.org/abs/2609.05399v1,,0,2026-09-04T17:46:33Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.05896v1,2026-09-10T06:51:29.524238+00:00,Polarity-Asymmetric Structural Calibration for Link Sign Prediction,Qiqi Gao; Wenzhuo Song; Xueyan Liu,https://arxiv.org/abs/2609.05896v1,https://github.com/iqqGGGGGGG/PASC-for-LSP,0,2026-09-05T05:33:27Z
