sourceRecordId,rawEntityName,normalizedEntityName,canonicalEntityId,canonicalEntityName,matchStrategy,confidence,aliasesUsed,domainsUsed,resolverVersion,timestamp,unresolvedReason
STARTUP:4771,"Essex Property Trust, Inc.",essex property trust,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847771+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5380,Zentropa,zentropa,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847771+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1421,Hutchison Whampoa,hutchison whampoa,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847772+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2737,Reebok,reebok,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847773+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2733,Chipotle Mexican Grill,chipotle mexican grill,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847773+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2017,Abbott Laboratories,abbott laboratories,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847774+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1291,Apple Inc.,apple,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847774+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2277,"Coinbase Global, Inc.",coinbase global,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847775+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5271,Fushi Copperweld,fushi copperweld,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847776+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2772,Public Power Corporation SA,public power sa,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847776+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:5121,Weir Group Plc/Adr,weir group plc adr,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847777+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:1744,Citect,citect,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847777+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2647,Casumina,casumina,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847778+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:4724,Heineken Holding N V,heineken holding n v,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847779+00:00,NO_MATCHING_ENTITY_FOUND
STARTUP:2090,Vertiv Holdings Co,vertiv holdings,,,UNRESOLVED,0.0,[],[],1.0.0,2026-09-10 21:12:25.847779+00:00,NO_MATCHING_ENTITY_FOUND
